ECE,219
CSE,191
EEE,66
IT,73
MECH,65
PROD,37
CIVIL,47
CHEM,42
Bio-Tech,31
MCA,12
MTech/CSE,21
M.E/ECE,5
M.E/VLSI,6
M.E/EEE,2
M.E/Cad/Cam,1
M.E/THERMAL,2
M.E/CIVIL,1
MBA,32
